dataset,mean,std,num_trials,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
Physics,0.962148,0.000245,5,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Physics,0.962032,0.000210,5,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Physics,0.960524,0.000000,1,homo,cos,0.3,0.1,5.0,topo+center,5.0,0.05,15.0,0.1,0.02,0.2
Physics,0.960524,0.000000,1,homo,cos,0.3,0.1,5.0,topo,20.0,0.05,15.0,0.1,0.02,0.2
Physics,0.960524,0.000000,1,homo,cos,0.3,0.1,5.0,center,20.0,0.05,15.0,0.1,0.02,0.2
Physics,0.960524,0.000000,1,homo,cos,0.3,0.1,5.0,topo+center,20.0,0.05,15.0,0.1,0.02,0.2
Physics,0.960355,0.000000,1,homo,cos,0.3,0.1,5.0,center,5.0,0.05,25.0,0.1,0.02,0.2
Physics,0.960343,0.000000,1,homo,cos,0.3,0.1,10.0,center,5.0,0.05,15.0,0.1,0.02,0.2
