dataset,mean,std,num_trials,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
Computers,0.898867,0.000000,1,detach,dot,0.7,0.1,5.0,topo,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898867,0.000000,1,detach,dot,0.7,0.1,5.0,center,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898867,0.000000,1,detach,dot,0.7,0.1,10.0,center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898867,0.000000,1,detach,dot,0.7,0.1,10.0,center,10.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898867,0.000000,1,detach,dot,0.7,0.1,20.0,center,5.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898867,0.000000,1,detach,dot,0.7,0.1,20.0,center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898837,0.000000,1,detach,dot,0.7,0.1,5.0,topo,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898837,0.000000,1,detach,dot,0.7,0.1,5.0,center,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898837,0.000000,1,detach,dot,0.7,0.1,5.0,topo+center,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898806,0.000000,1,detach,dot,0.7,0.1,5.0,topo,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898806,0.000000,1,detach,dot,0.7,0.1,5.0,topo,5.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898806,0.000000,1,detach,dot,0.7,0.1,5.0,topo+center,5.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898806,0.000000,1,detach,dot,0.7,0.1,5.0,topo+center,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898776,0.000000,1,detach,dot,0.7,0.1,5.0,topo+center,5.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898776,0.000000,1,detach,dot,0.7,0.1,10.0,topo,5.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898746,0.000000,1,detach,dot,0.7,0.1,10.0,topo,5.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898746,0.000000,1,detach,dot,0.7,0.2,5.0,topo,5.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898715,0.000000,1,detach,dot,0.7,0.1,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898715,0.000000,1,detach,dot,0.7,0.1,10.0,topo+center,10.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898715,0.000000,1,detach,dot,0.7,0.1,10.0,topo+center,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898715,0.000000,1,detach,dot,0.7,0.1,10.0,topo+center,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898715,0.000000,1,detach,dot,0.7,0.2,5.0,topo,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898715,0.000000,1,detach,dot,0.7,0.2,5.0,topo,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898685,0.000000,1,detach,dot,0.7,0.1,10.0,center,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898685,0.000000,1,detach,dot,0.7,0.1,20.0,topo+center,5.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898685,0.000000,1,detach,dot,0.7,0.2,5.0,topo,5.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898685,0.000000,1,detach,dot,0.7,0.2,5.0,topo,10.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898655,0.000000,1,detach,dot,0.7,0.1,10.0,center,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898655,0.000000,1,detach,dot,0.7,0.1,10.0,topo+center,5.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898655,0.000000,1,detach,dot,0.7,0.1,20.0,topo,5.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898655,0.000000,1,detach,dot,0.7,0.1,20.0,topo,5.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898624,0.000000,1,detach,dot,0.7,0.1,10.0,topo+center,5.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898624,0.000000,1,detach,dot,0.7,0.1,20.0,topo+center,5.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898624,0.000000,1,detach,dot,0.7,0.1,20.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898624,0.000000,1,detach,dot,0.7,0.1,20.0,topo+center,10.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898624,0.000000,1,detach,dot,0.7,0.2,5.0,topo,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898594,0.000000,1,detach,dot,0.7,0.1,20.0,center,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898594,0.000000,1,detach,dot,0.7,0.1,20.0,topo+center,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898564,0.000000,1,detach,dot,0.7,0.1,20.0,topo,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898564,0.000000,1,detach,dot,0.7,0.1,20.0,topo,10.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898564,0.000000,1,detach,dot,0.7,0.1,20.0,topo,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898564,0.000000,1,detach,dot,0.7,0.1,20.0,topo+center,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898534,0.000000,1,detach,dot,0.7,0.1,20.0,topo,20.0,0.05,15.0,0.1,0.05,0.2
Computers,0.898503,0.000000,1,detach,dot,0.7,0.1,20.0,center,20.0,0.05,15.0,0.1,0.02,0.2
Computers,0.898306,0.001288,2,detach,dot,0.6,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
