trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
11,Photo,-0.8934171199798584,-0.9991125464439392,0.9373638344226579,3.4234221405821827e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
12,Photo,-0.896188497543335,-0.9990357756614685,0.9377450980392158,3.5776837968302534e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
13,Photo,-0.9003616571426392,-0.9990485906600952,0.937091503267974,2.616515015592275e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
14,Photo,-0.8971559405326843,-0.9983440637588501,0.9357298474945533,2.8538406405893064e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
15,Photo,-0.8965393900871277,-0.9988917112350464,0.9366013071895424,3.488686687456367e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
16,Photo,-0.8991010189056396,-0.9984858632087708,0.9375272331154685,1.180694984360233e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
17,Photo,-0.8968995809555054,-0.99904865026474,0.9361111111111112,2.901305765588713e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
18,Photo,-0.8962891697883606,-0.998967707157135,0.9373093681917212,5.203364328059922e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
19,Photo,-0.898099958896637,-0.998969316482544,0.9367102396514161,2.141863765598212e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
20,Photo,-0.9044901132583618,-0.9984065294265747,0.9385620915032679,1.4417531718569678e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
