trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
8,CS,-0.8817993402481079,-0.9995099306106567,0.9373196063725825,6.478011326717471e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
9,CS,-0.8746349811553955,-0.9995515942573547,0.938001409058885,4.844821100670774e-07,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
10,CS,-0.8820561170578003,-0.9994468688964844,0.9390241130883389,8.005834441406399e-07,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
11,CS,-0.8774157762527466,-0.9993942379951477,0.9387059385013977,4.028742493095927e-08,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
12,CS,-0.8751367926597595,-0.9995636343955994,0.9391377468693894,4.376867164934255e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
13,CS,-0.8770161271095276,-0.9995328187942505,0.9388877525510783,4.4729371782310073e-07,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
14,CS,-0.8810445070266724,-0.9994490742683411,0.9376377809595237,2.0990781399920187e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
15,CS,-0.8763828873634338,-0.9994061589241028,0.9395241017249608,8.5192408565521e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
16,CS,-0.8785257935523987,-0.9994984269142151,0.93931956091907,1.5092289185671012e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
17,CS,-0.8815509080886841,-0.999534010887146,0.9370241585418514,2.176553957166988e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
18,CS,-0.876515805721283,-0.9994722008705139,0.938546851207927,1.9937110286341683e-07,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
19,CS,-0.8735191226005554,-0.9995381832122803,0.9349560237267335,3.1827065695451462e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
20,CS,-0.8780696392059326,-0.9994539022445679,0.936955978273221,7.81369441481281e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.3,25.0,0.1,0.02,0.2,66666
