trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
7,Physics,-0.8901397585868835,-0.9987398982048035,0.9625294437398079,4.7363655024366515e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
8,Physics,-0.8912196755409241,-0.9984967708587646,0.9617684363109259,1.3745090275092204e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
9,Physics,-0.889243483543396,-0.9985141754150391,0.9624569668418191,4.999010539540336e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
10,Physics,-0.8944088220596313,-0.9986950755119324,0.9630488615087275,7.549585677635973e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
11,Physics,-0.8861750364303589,-0.9989954829216003,0.9618288337259164,2.533065468955685e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
12,Physics,-0.8920223712921143,-0.9987298250198364,0.9626864770187836,8.206198270396363e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
13,Physics,-0.8883335590362549,-0.9990167617797852,0.962432807875823,6.761650566325293e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
14,Physics,-0.8896464705467224,-0.9986258745193481,0.962444887358821,9.53693312505412e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
15,Physics,-0.889428436756134,-0.9988884925842285,0.9627468744337743,4.438701127052565e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
16,Physics,-0.8889789581298828,-0.9987905025482178,0.9627710333997705,1.1760661105865765e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
17,Physics,-0.890110433101654,-0.9991846084594727,0.9625777616718004,1.2399764029484515e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
18,Physics,-0.8882383108139038,-0.9988225698471069,0.962444887358821,9.659500809036911e-08,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
19,Physics,-0.8843772411346436,-0.9985563158988953,0.9626623180527872,3.9951228421663035e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
20,Physics,-0.8896276950836182,-0.9988023042678833,0.9623965694268285,3.54862627908995e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
