trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Physics,-0.8898231983184814,-0.9996176958084106,0.9620945823518753,8.746079735553101e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Physics,-0.888773500919342,-0.9995478987693787,0.962239536147853,5.147842727232808e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Physics,-0.8897073268890381,-0.9995427131652832,0.9626502385697893,4.5029032472336323e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Physics,-0.8902578353881836,-0.999558687210083,0.9620100259708885,9.83459750043919e-08,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Physics,-0.889316201210022,-0.9995546936988831,0.9618288337259165,5.045702990581239e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
