trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Photo,-0.9026151299476624,-0.9991433620452881,0.938235294117647,2.1359306249732852e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Photo,-0.9049263000488281,-0.9972098469734192,0.9400871459694988,7.713082812403531e-08,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Photo,-0.9063130617141724,-0.998592734336853,0.9397058823529413,2.207128312472395e-06,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Photo,-0.9001034498214722,-0.9989389777183533,0.9385620915032679,6.585786093667632e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Photo,-0.9023419618606567,-0.9990111589431763,0.9388344226579521,2.5512504687180915e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
