trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Computers,-0.8964332938194275,-0.9992078542709351,0.9006241289462521,4.204164370577855e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Computers,-0.8944103717803955,-0.9991077780723572,0.9005938314245895,1.968062971729103e-06,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Computers,-0.8996643424034119,-0.9984903335571289,0.9001696661213113,1.048287273187802e-06,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Computers,-0.8954033255577087,-0.9991369843482971,0.9004423438162759,6.847831049019617e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Computers,-0.8951792120933533,-0.9989522099494934,0.8999878809913349,2.557380335465088e-06,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
