trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,CS,-0.8774707913398743,-0.9996533393859863,0.9370696120542714,1.589803768429055e-06,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,CS,-0.8715603947639465,-0.9997066259384155,0.9355014658757757,3.2570833540330526e-06,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,CS,-0.8756380081176758,-0.9996424913406372,0.9361150882934478,1.9616876908684847e-06,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,CS,-0.8770213723182678,-0.9996300935745239,0.9374332401536328,2.2757230031508026e-06,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,CS,-0.8755074143409729,-0.9996641874313354,0.9373650598850025,1.1569722031452072e-07,700,1024,0,detach,dot,0.6,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
