trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,num_hop,use_gb,gb_quity,gb_sim,gb_alpha,log_every,imp_thresh,gb_rebuild_every
1,Physics,-0.8018354177474976,-0.9986670613288879,0.9619013106239053,1.9351102678162704e-06,150,1024,1,1,homo,dot,0.3,50,1.0,50
1,Physics,-0.8042227029800415,-0.998669445514679,0.9619375490728995,2.054176017969884e-06,150,1024,1,1,homo,dot,0.7,50,1.0,50
1,Physics,-0.8042756915092468,-0.9986686706542969,0.9619375490728997,2.1583585493544408e-06,150,1024,1,1,homo,cos,0.7,50,1.0,50
1,Physics,-0.8017931580543518,-0.9986664056777954,0.9619858670048922,2.0827751442323477e-06,150,1024,1,1,homo,cos,0.3,50,1.0,50
1,Physics,-0.8042452931404114,-0.9986700415611267,0.9619496285558978,2.2070937951281015e-06,150,1024,1,1,detach,dot,0.7,50,1.0,50
1,Physics,-0.8019641041755676,-0.998668909072876,0.961973787521894,2.1583585493544408e-06,150,1024,1,1,detach,dot,0.3,50,1.0,50
1,Physics,-0.8043103814125061,-0.998668909072876,0.9619496285558978,2.1230473832549627e-06,150,1024,1,1,detach,cos,0.7,50,1.0,50
1,Physics,-0.8018379807472229,-0.9986670613288879,0.961973787521894,2.064681819453989e-06,150,1024,1,1,detach,cos,0.3,50,1.0,50
1,Physics,-0.8905167579650879,-0.9992634654045105,0.9619496285558977,5.6993973051506e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
1,Physics,-0.8872159123420715,-0.999330461025238,0.9622878540798454,1.1287900039079204e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Physics,-0.8879761099815369,-0.9991636872291565,0.9621429002838678,6.09628313899628e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Physics,-0.8885533809661865,-0.9990994334220886,0.9622032976988585,2.63520520560696e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Physics,-0.8873205780982971,-0.9992645978927612,0.9624328078758229,1.9815108910380994e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Physics,-0.8874131441116333,-0.9993501901626587,0.9623724104608322,2.7169169949283626e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Physics,-0.8875417709350586,-0.9991405606269836,0.9621066618348735,1.902717379906842e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Physics,-0.886458158493042,-0.9993859529495239,0.9619375490728997,7.208147129402075e-08,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Physics,-0.8909191489219666,-0.9991459846496582,0.9617080388959351,6.183831484697017e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Physics,-0.889053463935852,-0.9991400837898254,0.9617563568279278,6.875463415736532e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
