trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,num_hop,use_gb,gb_quity,gb_sim,gb_alpha,log_every,imp_thresh,gb_rebuild_every
1,CS,-0.9781343340873718,-0.9999687671661377,0.9425013067884821,1.008218634169489e-06,700,1024,1,1,detach,dot,0.7,100,0.5,100
2,CS,-0.9823647737503052,-0.9999147653579712,0.9407286198040953,7.262066596527068e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
3,CS,-0.9798411726951599,-0.9999548196792603,0.9420240449080702,3.5432273721325504e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
4,CS,-0.981031060218811,-0.9999349117279053,0.9413195154655575,7.2310762696609084e-09,700,1024,1,1,detach,dot,0.7,100,0.5,100
5,CS,-0.9796565175056458,-0.9999580383300781,0.9415695097838684,4.679539357364198e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
6,CS,-0.9820764660835266,-0.9999260902404785,0.941410422490398,1.1972596280762133e-06,700,1024,1,1,detach,dot,0.7,100,0.5,100
7,CS,-0.9785303473472595,-0.999958336353302,0.9413649689779776,2.7891294182964813e-08,700,1024,1,1,detach,dot,0.7,100,0.5,100
8,CS,-0.9785418510437012,-0.9999648332595825,0.942205858957751,9.958225034214104e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
9,CS,-0.9785867929458618,-0.9999661445617676,0.9413649689779778,1.509228918567091e-06,700,1024,1,1,detach,dot,0.7,100,0.5,100
10,CS,-0.9792122840881348,-0.9999621510505676,0.9422285857139611,6.487308424779324e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
11,CS,-0.9776245355606079,-0.9999783635139465,0.9408649803413559,1.745788413674683e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
12,CS,-0.9824915528297424,-0.9999170899391174,0.9404558987295744,5.247695349980046e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
13,CS,-0.9805929660797119,-0.9999507665634155,0.9420467716642804,5.330336221633983e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
14,CS,-0.9824179410934448,-0.9999268054962158,0.9410013408786164,2.551536912293616e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
15,CS,-0.9818434715270996,-0.99992436170578,0.9415013295152382,1.0040865905868243e-06,700,1024,1,1,detach,dot,0.7,100,0.5,100
16,CS,-0.983115553855896,-0.9998741745948792,0.9404558987295744,6.301366463559895e-08,700,1024,1,1,detach,dot,0.7,100,0.5,100
17,CS,-0.9816314578056335,-0.9999358654022217,0.9397968227994818,6.445987988951869e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
18,CS,-0.9801671504974365,-0.9999500513076782,0.94195586463944,2.9854014884731864e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
19,CS,-0.9827612042427063,-0.9998996257781982,0.9413422422217677,3.4192660646520846e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
20,CS,-0.9773375391960144,-0.9999741315841675,0.9412058816845071,2.675498219773224e-07,700,1024,1,1,detach,dot,0.7,100,0.5,100
1,CS,-0.8219773173332214,-0.9989666938781738,0.9400240903615827,1.1569722031452072e-07,150,1024,1,1,homo,dot,0.7,50,1.0,50
1,CS,-0.8218132853507996,-0.9989680051803589,0.9399559100929524,1.8697497211540892e-07,150,1024,1,1,homo,dot,0.3,50,1.0,50
1,CS,-0.821820080280304,-0.9989677667617798,0.9397286425308516,2.1693228808977677e-08,150,1024,1,1,homo,cos,0.3,50,1.0,50
1,CS,-0.8219997882843018,-0.9989665746688843,0.9400240903615827,1.3739044912348494e-07,150,1024,1,1,homo,cos,0.7,50,1.0,50
1,CS,-0.8218333125114441,-0.9989678859710693,0.9397513692870616,3.822140313961004e-08,150,1024,1,1,detach,cos,0.3,50,1.0,50
1,CS,-0.8220073580741882,-0.9989665150642395,0.9400468171177927,1.528856125584738e-07,150,1024,1,1,detach,cos,0.7,50,1.0,50
1,CS,-0.8750741481781006,-0.9996234178543091,0.936387809367969,1.9616876908684847e-06,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
1,CS,-0.8765405416488647,-0.9994794726371765,0.9389559328197086,4.844821100670874e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,CS,-0.8739569187164307,-0.9996034502983093,0.9360923615372378,5.706352187655468e-06,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,CS,-0.877824068069458,-0.9995050430297852,0.9379105020340447,2.675498219773022e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,CS,-0.8740176558494568,-0.9996604919433594,0.9365241699052295,2.1042431944704212e-06,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,CS,-0.878193736076355,-0.9995708465576172,0.937501420422263,1.3398151316780152e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,CS,-0.8704725503921509,-0.9996552467346191,0.9367514374673304,1.2220518895720812e-06,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,CS,-0.8743860125541687,-0.999499499797821,0.9382968568896161,3.6258682437851233e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,CS,-0.8756048679351807,-0.9996280670166016,0.9384104906706665,4.866514329479463e-06,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,CS,-0.8779789209365845,-0.9994937181472778,0.9390013863321288,1.2406460856941e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
