trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,num_hop,use_gb,gb_quity,gb_sim,gb_alpha,log_every,imp_thresh,gb_rebuild_every
1,Photo,-0.9550566077232361,-0.9999522566795349,0.9390522875816995,8.721716718640918e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
1,Photo,-0.955593466758728,-0.9999417662620544,0.9377995642701524,4.6871810936913775e-07,700,1024,1,1,homo,cos,0.3,100,0.5,100
1,Photo,-0.6974141001701355,-0.9990828633308411,0.9373093681917212,7.891077031151306e-07,150,1024,1,1,homo,dot,0.3,50,1.0,50
1,Photo,-0.7018160223960876,-0.9990675449371338,0.937037037037037,7.891077031151306e-07,150,1024,1,1,homo,dot,0.7,50,1.0,50
1,Photo,-0.7020332217216492,-0.9990687966346741,0.9369281045751633,6.58578609366763e-07,150,1024,1,1,homo,cos,0.7,50,1.0,50
1,Photo,-0.7018329501152039,-0.9990677237510681,0.937091503267974,8.721716718640916e-07,150,1024,1,1,detach,dot,0.7,50,1.0,50
1,Photo,-0.6962560415267944,-0.9990756511688232,0.937037037037037,8.247065468646853e-07,150,1024,1,1,detach,cos,0.3,50,1.0,50
1,Photo,-0.7021090388298035,-0.9990696907043457,0.9369825708061003,7.357094374907983e-07,150,1024,1,1,detach,cos,0.7,50,1.0,50
1,Photo,-0.8845342993736267,-0.9990525245666504,0.9373093681917212,1.6434799531044445e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8962448835372925,-0.9990472793579102,0.939433551198257,7.535088593655757e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Photo,-0.8874030709266663,-0.9989355802536011,0.9375272331154685,5.149966062435588e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Photo,-0.896392285823822,-0.9989368319511414,0.9388888888888888,3.488686687456367e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Photo,-0.8928046822547913,-0.9987682104110718,0.9375272331154685,4.082000749948946e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Photo,-0.9017139077186584,-0.9987697601318359,0.9374727668845315,7.357094374907983e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Photo,-0.8867016434669495,-0.9987190961837769,0.9378540305010894,4.847375890564374e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Photo,-0.8971713781356812,-0.9987263679504395,0.9388888888888888,5.464422515556657e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Photo,-0.8846310377120972,-0.9987490177154541,0.9377995642701524,2.159663187472989e-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Photo,-0.8964996933937073,-0.9987391829490662,0.9389978213507625,2.907238906213639e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
