trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Photo,-0.8409914970397949,-0.9998655915260315,0.9349128540305012,2.3910556718450946e-06,150,1024,1,detach,dot,0.3,0.1,5,topo+center,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8387333750724792,-0.999864935874939,0.9345315904139433,1.2874915156088972e-06,150,1024,1,detach,dot,0.3,0.1,10,topo,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8387397527694702,-0.999864935874939,0.9344771241830067,1.2993577968587487e-06,150,1024,1,detach,dot,0.3,0.1,10,topo,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8387406468391418,-0.999864935874939,0.9344771241830067,1.2993577968587487e-06,150,1024,1,detach,dot,0.3,0.1,10,topo,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8387255072593689,-0.9998649954795837,0.9345315904139433,1.1628955624854555e-06,150,1024,1,detach,dot,0.3,0.1,10,topo,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8387660980224609,-0.999864935874939,0.9345315904139433,1.2874915156088972e-06,150,1024,1,detach,dot,0.3,0.1,10,topo,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8387523293495178,-0.999864935874939,0.9344771241830067,1.2993577968587487e-06,150,1024,1,detach,dot,0.3,0.1,10,topo,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8390050530433655,-0.9998863935470581,0.9352396514161221,1.6078811093548902e-06,150,1024,1,detach,dot,0.3,0.1,10,center,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8389878273010254,-0.9998863935470581,0.9353485838779957,1.3230903593584518e-06,150,1024,1,detach,dot,0.3,0.1,10,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8354352116584778,-0.9998696446418762,0.9350217864923748,1.7858753281026636e-06,150,1024,1,detach,dot,0.3,0.1,10,center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8354488015174866,-0.9998701810836792,0.9349673202614378,1.6197473906047416e-06,150,1024,1,detach,dot,0.3,0.1,10,center,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8336370587348938,-0.9998723864555359,0.9347494553376906,2.0350672343495474e-06,150,1024,1,detach,dot,0.3,0.1,10,center,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8336386680603027,-0.999873161315918,0.9348039215686276,1.9401369843507345e-06,150,1024,1,detach,dot,0.3,0.1,10,center,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8396323323249817,-0.999863862991333,0.9346949891067539,4.33119265619583e-07,150,1024,1,detach,dot,0.3,0.1,10,topo+center,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8396306037902832,-0.999863862991333,0.9347494553376906,5.399157968682472e-07,150,1024,1,detach,dot,0.3,0.1,10,topo+center,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8398884534835815,-0.9998632669448853,0.9346949891067539,2.35545682809554e-06,150,1024,1,detach,dot,0.3,0.1,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8399090766906738,-0.9998648166656494,0.9348583877995642,2.586849312467646e-06,150,1024,1,detach,dot,0.3,0.1,10,topo+center,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8397601246833801,-0.9998636841773987,0.9348583877995642,1.8570730156017733e-06,150,1024,1,detach,dot,0.3,0.1,10,topo+center,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8397506475448608,-0.9998639225959778,0.9347494553376906,2.0350672343495474e-06,150,1024,1,detach,dot,0.3,0.1,10,topo+center,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8336242437362671,-0.9998602271080017,0.9345315904139433,1.3586892031080068e-06,150,1024,1,detach,dot,0.3,0.1,20,topo,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8336256146430969,-0.9998602271080017,0.9345315904139433,1.3586892031080068e-06,150,1024,1,detach,dot,0.3,0.1,20,topo,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8336326479911804,-0.9998603463172913,0.9345315904139433,1.3586892031080068e-06,150,1024,1,detach,dot,0.3,0.1,20,topo,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8336586952209473,-0.9998595118522644,0.9344771241830067,1.2993577968587487e-06,150,1024,1,detach,dot,0.3,0.1,20,topo,10,50,0.05,25.0,0.1,0.02,0.2,66666
