dataset,mean,std,num_trials,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
CS,0.938408,0.001201,20,detach,dot,0.3,0.3,5.0,center,5.0,0.05,25.0,0.1,0.02,0.2
CS,0.938120,0.001117,20,detach,dot,0.3,0.3,5.0,center,5.0,0.3,25.0,0.1,0.02,0.2
Computers,0.898409,0.000737,20,homo,dot,0.7,0.2,10.0,topo+center,10.0,0.3,15.0,0.1,0.02,0.2
Computers,0.898394,0.000727,20,homo,dot,0.7,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.937233,0.000694,20,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.937219,0.000694,20,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.3,15.0,0.1,0.02,0.2
Physics,0.962391,0.000350,20,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.3,15.0,0.1,0.02,0.2
Physics,0.962334,0.000380,20,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
