dataset,timestamp,mean,std,num_trials,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
CS,2026-05-11 11:04,0.938408,0.001201,20,detach,dot,0.3,0.3,5.0,center,5.0,0.05,25.0,0.1,0.02,0.2
CS,2026-05-11 11:04,0.938120,0.001117,20,detach,dot,0.3,0.3,5.0,center,5.0,0.3,25.0,0.1,0.02,0.2
