dataset,timestamp,mean,std,num_trials,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
Photo,2026-05-11 11:04,0.937233,0.000694,20,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,2026-05-11 11:04,0.937219,0.000694,20,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.3,15.0,0.1,0.02,0.2
