dataset,timestamp,mean,std,max,num_trials,stat_type,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
Computers,2026-05-11 11:21,0.898409,0.000737,0.899564,20,mean,homo,dot,0.7,0.2,10.0,topo+center,10.0,0.3,15.0,0.1,0.02,0.2
Computers,2026-05-11 11:21,0.898394,0.000727,0.899564,20,mean,homo,dot,0.7,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
