dataset,timestamp,mean,std,max,num_trials,stat_type,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
Physics,2026-05-11 11:21,0.962391,0.000350,0.963049,20,mean,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.3,15.0,0.1,0.02,0.2
Physics,2026-05-11 11:21,0.962334,0.000380,0.963025,20,mean,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
